activityId,currentSessionStarted,event,event_hashCode,event_hashcode,ext,firstSessionStarted,gameplayId,gameplayId_hashCode,name,progress,response,score,session,stored,success,target,target_hashCode,time,timestamp,type,type_hashCode,uuidv4,versionId
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:25:42 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:23:02.002Z","5dd6abd65187cd0095b07ebd",???,"juan",???,???,???,"1","2019-11-21T15:23:02.635Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:25:42 GMT+0100 (Central European Standard Time)","stage","109757182","d5cbd6f0-3b94-4f4d-8055-1e03c0b58c77","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:44:00 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-21T15:23:02.002Z","5dd6abd65187cd0095b07ebd",???,"juan",???,???,"1","1","2019-11-21T15:41:20.623Z","true","wave","3642105",???,"Thu Nov 21 2019 16:44:00 GMT+0100 (Central European Standard Time)","stage","109757182","58ef0137-6677-4418-be34-12d67d8fff63","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:44:00 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:23:02.002Z","5dd6abd65187cd0095b07ebd",???,"juan",???,???,???,"1","2019-11-21T15:41:20.623Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:44:00 GMT+0100 (Central European Standard Time)","stage","109757182","c72f83f1-0859-4eba-a2a1-9193d773717a","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:39:23 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:23:13.902Z","5dd6abe15187cd0095b07ec0",???,"aitor",???,"true","1","2","2019-11-21T15:36:44.001Z","false","post","3446944",???,"Thu Nov 21 2019 16:39:23 GMT+0100 (Central European Standard Time)","question","-1165870106","0b5071d4-5c9f-4074-a468-3776587816e0","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:34:11 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:29:07.690Z","5dd6ad435187cd0095b07ecc",???,"carlos",???,"true","1","1","2019-11-21T15:31:31.294Z","false","post","3446944",???,"Thu Nov 21 2019 16:34:11 GMT+0100 (Central European Standard Time)","question","-1165870106","8832746a-c203-4ebf-97f9-e79de6dd9bf4","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:35:23 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:31:18.395Z","5dd6adc65187cd0095b07ed5",???,"dám0012",???,???,???,"1","2019-11-21T15:32:42.961Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:35:23 GMT+0100 (Central European Standard Time)","stage","109757182","b2c9cac9-ce73-4b31-9f2d-c801f4880a0b","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:40:44 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:23:02.002Z","5dd6abd65187cd0095b07ebd",???,"juan",???,???,???,"1","2019-11-21T15:38:04.184Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:40:44 GMT+0100 (Central European Standard Time)","stage","109757182","6aa054bf-268f-4659-af35-2f4dbcb62936","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:36:24 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:29:22.393Z","5dd6ad525187cd0095b07ecf",???,"manuel freire",???,???,???,"2","2019-11-21T15:33:44.099Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:36:24 GMT+0100 (Central European Standard Time)","stage","109757182","31348ffb-b8b7-4f1b-937c-6fab1fab13e1","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:38:00 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:23:13.902Z","5dd6abe15187cd0095b07ec0",???,"aitor",???,???,???,"2","2019-11-21T15:35:20.318Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:38:00 GMT+0100 (Central European Standard Time)","stage","109757182","e2a0f817-89e5-4264-96d3-aac124461391","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:31:48 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:29:07.690Z","5dd6ad435187cd0095b07ecc",???,"carlos",???,???,???,"1","2019-11-21T15:29:08.473Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:31:48 GMT+0100 (Central European Standard Time)","stage","109757182","e45c9d54-dac3-407c-8524-49f1f8105cf4","5c613b4dcf73440078c85032"
